timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2022-06-05T00:00:00Z,6.24532716,6.31042394,6.09725374,6.14702359,286362454.57,6.25105719,6.31654547,6.10485128,6.15326301,73848378.93,4585,73848378,2482843,171504287,38522359
2022-06-04T00:00:00Z,6.17613852,6.27521595,6.05473768,6.23898791,303673430.25,6.17781671,6.27695870,6.05767478,6.24012572,72883409.73,4604,72883409,3339898,183784150,43661367
2022-06-03T00:00:00Z,6.42369659,6.51557780,6.02294101,6.15774772,457133915.28,6.42873720,6.51330806,6.02721312,6.16131679,117583772.53,12944,117583772,4709378,281237917,53589901
2022-06-02T00:00:00Z,6.13157448,6.50553560,5.99384209,6.41629515,591545073.91,6.13747386,6.51604313,6.00480573,6.42418385,155556718.49,19656,155556718,4987014,363427737,67553946
2022-06-01T00:00:00Z,6.79775372,7.05619398,5.97888128,6.14597242,706693685.96,6.79948141,7.04800779,5.98852579,6.15110844,200512663.65,47148,200512663,7958051,438421875,59753946
2022-05-31T00:00:00Z,7.23344356,7.34700719,6.55640220,6.79073083,779008998.85,7.23165030,7.34471154,6.55863127,6.79046472,225098079.96,64249,225098079,7554781,461905173,84386714
2022-05-30T00:00:00Z,6.25239518,7.48653872,6.19075174,7.22849243,1047930120.13,6.25535145,7.49229342,6.21199770,7.22907161,316349682.46,80292,316349682,10814868,571016247,149669028
2022-05-29T00:00:00Z,6.26081824,6.39440032,6.00681353,6.26754046,488350050.80,6.26481741,6.39936498,6.01665704,6.27347647,127336255.69,10288,127336255,4154257,292524902,64324346
2022-05-28T00:00:00Z,6.13087049,6.44488626,6.08609086,6.27330755,582015544.13,6.13745597,6.44932366,6.09567918,6.27864144,141844064.20,21460,141844064,4542730,342172941,93434347
2022-05-27T00:00:00Z,6.39535978,6.49075124,5.81654232,6.10578447,1157956197.60,6.39827587,6.48770840,5.82157259,6.11093203,296750511.77,42573,296750511,10540522,682536672,168085917
2022-05-26T00:00:00Z,7.34647715,7.45775276,6.22265614,6.40432928,970775182.39,7.36100393,7.45203503,6.25137328,6.40885026,267814606.04,57808,267814606,8895714,615695069,78311983
2022-05-25T00:00:00Z,7.54079580,7.78299946,7.31291051,7.40165936,649320677.22,7.54696999,7.79124205,7.32525657,7.41568670,166125051.71,17205,166125051,4842842,388797669,89537908
2022-05-24T00:00:00Z,7.79386702,7.92802766,7.03523836,7.53956639,997057595.25,7.80348655,7.94337965,7.05325631,7.55437850,239423489.06,147674,239423489,7190472,486442184,263853775
2022-05-23T00:00:00Z,8.07026431,8.53691965,7.62294321,7.78607471,1019267888.26,8.07043150,8.55066441,7.63466795,7.79834322,301159197.28,178135,301159197,11104787,565385933,141439834
2022-05-22T00:00:00Z,8.09753656,8.36046427,7.82894487,8.08606269,651601887.96,8.10210930,8.41527439,7.83266178,8.08574014,182158174.18,39888,182158174,5702668,361337980,102363175
2022-05-21T00:00:00Z,7.85558566,8.33806300,7.66242434,8.12966774,637345057.45,7.86185359,8.34281548,7.66892505,8.13115232,162747838.01,33403,162747838,5164845,393387635,76011334
2022-05-20T00:00:00Z,8.11879202,8.41653336,7.57069096,7.80848021,994447653.76,8.12692147,8.41670494,7.58631087,7.82156619,257986758.30,82831,257986758,9421234,590204048,136752780
2022-05-19T00:00:00Z,8.00499754,8.32270527,7.45902898,8.08668530,1205172044.57,8.01825918,8.34425695,7.48331249,8.09837001,321727606.24,43060,321727606,14288473,742760981,126351922
